Corbianus,9|8
Corbicanus,6|26
Corbinianus,9|7;9|10;11|20;9|9
Corcodemus,5|4;5|18
Corcunutanus,11|3
Cordula,6|1;10|22;9|7
Corentinus,12|12
Cormacus,6|21
Cornelius,9|14;9|13;9|20;9|16
Cornibutus,6|30
Corona,2|20;5|14;9|18;4|26
Corpreus,3|6
Cortilia,1|23
Cosma,10|22;9|2;10|2
Cosmas,9|10;9|27;9|26
Craphaildis,11|12
Crato,2|15
Creatus,6|6
Crementius,4|16
Crescens,12|29;6|27
Crescentia,8|19;3|10;6|15;6|13;3|8
Crescentiana,5|5
Crescentianus,5|31;6|1;11|27;8|4
Crescentio,9|16;9|17
Crescentius,4|26;11|29;5|4;4|19;9|14
Crescentus,5|28
Criscinus,12|30
Crispianus,7|30;10|25;6|20
Crispin,10|25;11|14;7|30;6|20;10|26
Crispina,12|5
Crispulus,6|10;5|30
Crispus,10|5;8|18;10|25;10|4
Cronanus,2|9;4|28
Croscius,10|24
Ctesiphon,4|1
Cuannatheus,2|4
Cucufatus,2|15;7|26;7|25;4|9
Culanus,2|18
Culmatius,6|19
Cuminus,12|12
Cunegunda,3|6
Cunera,10|29;6|12
Cuthbertus,9|4;3|20;9|11
Cuthburga,8|31
Cuthmannus,2|8
Cyprian,9|16;4|12;10|12;9|26;9|20;9|14;9|13;4|21;12|9;6|4;7|11;7|16;8|27;10|3;6|14;3|8
Cyria,6|18;6|17
Cyriaca,8|21
Cyriacus,6|18;7|15;1|12;12|1;3|16;5|12;1|13;8|23
Cyril,3|6;10|28;1|28;7|11;7|9;5|11;5|19;7|22;3|9
Cyrus,1|31
Daconna,9|6
Daderca,7|6
Dafrosa,1|4
Daganus,9|13
Dageus,8|18;8|16
Dagobertus,1|19;12|23;9|2;9|10
Dallanus,1|29
Dalmatius,11|2;12|5;2|12;9|10;11|13
Dalphina,11|26
Damasus,12|11;12|17;12|10
Damian,2|12;9|26;5|16;9|27;10|22;3|16;4|12;10|26;10|2
Damnius,5|12
Daniel,7|21;12|26;4|24;1|20;10|13;4|22
Danielis,3|31
Dardulacha,2|1
Daria,10|26
Darius,4|12;8|24
Dasius,10|20
Dathus,7|3
Davanzatus,7|7
David,6|17;6|25;12|30;5|24;12|29;12|11;7|15
Davidagius,5|1
Davinus,6|3
Decentius,10|28
Declan,7|24
Declanus,12|1;7|25
Decorosus,2|15
Decumanus,8|27;3|1
Defendens,1|2
Deicolus,1|18;1|24
Delphinus,12|24;12|23
Demetria,6|21
Demetrianus,5|15
Denise,12|5
Dennis,12|26;5|25;5|9;2|26;11|17;4|8;10|9;6|12;6|9;4|22;12|4;10|8;10|3;10|16;3|12
Dentelinus,7|14;3|16
Deocarus,6|7
Deodatus,4|24;6|20;6|19;2|3;9|27;6|27;10|15
Deppa,6|26
Derbillia,10|26
Derek,8|25
Desiderat,4|30
Desideratus,12|18;7|27;5|8;2|11
Desiderius,5|23;10|27;11|16;11|15;1|19;1|20;2|11;10|19;9|30;9|19;9|18;3|25
Designatus,1|13
Deusdedit,11|8;10|9;6|30;7|14;7|15;12|10;8|10
Devota,1|27
Diaconanus,12|23
Diana,6|10
Diateria,10|2
Dicentius,6|25
Dictinus,7|24;6|2
Dicullus,2|11
Didacus,4|28;11|13;11|12
Didimus,12|22
Diepurgis,3|16
Digna,9|23;8|11;9|22
Digna-Merita,6|17
Dimitry,10|8;11|21;11|29;10|25;12|22;10|26
Dinocus,6|4
Diocletianus,5|16
Diogenes,6|17;6|16;8|3
Dioscoridus,5|28
Disciola,3|10;5|13
Disibodus,9|8;7|8
Divinicus,11|13
Divitianus,10|5
Doda,9|28;4|24
Dodo,10|28;4|7;3|30;10|1
Dodolinus,4|1
Dogmael,6|14
Domangartus,3|24
Domania,10|1
Dominator,11|5
Dominic,8|4;5|12;5|24;8|12;12|20;1|22;8|5;5|23
Dominique,7|6;5|13
Dominius,11|13
Domitianus,5|7;8|9;6|22;2|5;7|1
Domitilla,5|7
Domitius,10|23
Domninus,10|9;11|3;2|13;5|15
Domnius,5|7;1|5;4|11
Domnolenus,10|21;6|25
Domnolus,5|16;6|16;12|1
Domnus,3|13
Donanus,4|17;4|18
Donata,12|31
Donatianis,10|13
Donatianus,10|14;8|7;5|24
Donatus,9|5;8|14;8|18;8|19;8|7;3|2;10|8;11|1;7|23;4|1;3|1;8|17;8|21;1|11;7|26;12|12
Donevaldus,7|15
Donoaldus,8|11;8|10
Donorcius,8|20
Dorbheneus,10|28
Dorotheus,5|15;9|9;3|28
Dorothy,2|12;2|11;2|13;6|25;2|7;10|28;2|6
Dorus,11|20
Drausus,3|5;6|2
Droctoaldus,11|8
Droctoveus,4|25;3|10
Drogo,4|16
Drostanus,12|14;7|11
Druthmarus,2|15
Dubricius,11|14
Dulcardus,10|25
Dulcidius,10|17;10|16
Dulcilinus,7|8
Dulcissima,9|16
Dulcissimus,4|19
Dunstanus,5|19
Duthacus,3|8
Dutherius,8|28
Duvanus,11|11
Dymna,5|15
Eadbertus,5|6;3|6
Eadburga,7|18;6|15;12|13
Eadnochus,10|19
Eadsius,10|29
Ealswitha,12|5
Eanswida,9|12;8|31
Earcongota,2|23
Eata,10|2;10|26
Ebba,8|25;8|23
Ebbo,8|27;2|15
Eberhardi,11|30
Ebregisilius,8|31
Ebrulfus,7|26;12|29;7|25
Ecclesius,7|27
Echenus,2|11
Edentius,5|6
Edgarus,7|8
Edibius,12|10
Edicius,10|23
Edictius,3|13
Edigna,2|26
Editha,11|3;9|16
Edmund,11|15;11|20;11|17;4|29;6|9;11|16
Edward,1|7;3|18;6|20;1|12;10|13;10|20;1|5
Edwinus,10|12;10|4
Effremus,7|9
Egbertus,12|9;8|20;4|24
Egecius,11|3
Egelwinus,11|28
Egemonius,1|8
Egidius,4|23;5|14;9|1
Egwinus,12|30;1|11
Ehoarnus,2|11
Eigil,6|15
Eigilis,6|28;5|29
Einbeta,9|16
Ela,2|1
Elaphius,8|19
Eldradus,3|13
